,ppo_kwargs.max_grad_norm_0.1,ppo_kwargs.max_grad_norm_0.1,ppo_kwargs.max_grad_norm_0.1,ppo_kwargs.max_grad_norm_0.1,ppo_kwargs.max_grad_norm_0.1,ppo_kwargs.max_grad_norm_0.1,ppo_kwargs.max_grad_norm_0.1,ppo_kwargs.max_grad_norm_0.1,ppo_kwargs.max_grad_norm_0.1,ppo_kwargs.max_grad_norm_0.1,ppo_kwargs.max_grad_norm_0.2,ppo_kwargs.max_grad_norm_0.2,ppo_kwargs.max_grad_norm_0.2,ppo_kwargs.max_grad_norm_0.2,ppo_kwargs.max_grad_norm_0.2,ppo_kwargs.max_grad_norm_0.2,ppo_kwargs.max_grad_norm_0.2,ppo_kwargs.max_grad_norm_0.2,ppo_kwargs.max_grad_norm_0.2,ppo_kwargs.max_grad_norm_0.2,ppo_kwargs.max_grad_norm_0.5,ppo_kwargs.max_grad_norm_0.5,ppo_kwargs.max_grad_norm_0.5,ppo_kwargs.max_grad_norm_0.5,ppo_kwargs.max_grad_norm_0.5,ppo_kwargs.max_grad_norm_0.5,ppo_kwargs.max_grad_norm_0.5,ppo_kwargs.max_grad_norm_0.5,ppo_kwargs.max_grad_norm_0.5,ppo_kwargs.max_grad_norm_0.5,ppo_kwargs.max_grad_norm_1,ppo_kwargs.max_grad_norm_1,ppo_kwargs.max_grad_norm_1,ppo_kwargs.max_grad_norm_1,ppo_kwargs.max_grad_norm_1,ppo_kwargs.max_grad_norm_1,ppo_kwargs.max_grad_norm_1,ppo_kwargs.max_grad_norm_1,ppo_kwargs.max_grad_norm_1,ppo_kwargs.max_grad_norm_1
,x,y,z,xdot,ydot,zdot,speed,time,success_rate,counts,x,y,z,xdot,ydot,zdot,speed,time,success_rate,counts,x,y,z,xdot,ydot,zdot,speed,time,success_rate,counts,x,y,z,xdot,ydot,zdot,speed,time,success_rate,counts
mean,-657.8926725883402,3050.639609114254,-11805.870013493704,3.824800334296545,-4.796325899721284,-17.81018961443242,19.887749320146405,1971.85,0.0,,-12853.703975013714,5248.100891642552,10606.986496210291,-11.085325196897479,3.0560828128174444,7.170256490337429,31.033340931612848,1528.24,0.0,,-13022.553871815207,9838.467311456348,-8078.636022747138,-10.329652846485576,5.71240175434064,-3.4718371736766915,15.82136214061159,1678.66,0.0,,-17754.672555306417,967.2697372664787,9171.840501660323,-16.127054895310717,-3.0302438683713344,6.410350891919713,23.53010980024973,1548.4,0.0,
median,868.3949692710567,64.64359236367287,-10815.308970419646,4.829264498026525,-6.154190329663087,-16.893774576192342,19.20214839088449,2134.0,0.0,,-266.56679613149385,1859.0954282654916,373.3268543273931,-1.1643780075497197,2.5471176438864704,2.184254756060584,31.02602367421667,2498.0,0.0,,-19557.54246125636,14274.515726106552,-12819.208467438795,-17.900379221178436,10.317575357072053,-7.862975376535115,22.30548757707006,2498.0,0.0,,-5522.561637655138,60.76927393714725,4047.071496463541,-10.263720992739973,-2.056307801339231,6.383841784247355,23.974764885048927,2287.0,0.0,
min,-11357.798839008376,59.108810827468815,-25868.131476287297,-2.218986719942828,-9.914642619131268,-30.49135670408155,3.788241300188987,311.0,0.0,,-48301.076940012914,59.04157464857207,-62281.95476731543,-41.459353032014086,-2.263349185975233,-49.662327366237186,2.0450374012103922,175.0,0.0,,-26500.59152275993,59.019520625082684,-17181.04283117862,-20.88022022414122,-3.6535633814782194,-8.907704089832091,1.319231050859355,218.0,0.0,,-48059.05225105614,59.01598330903674,-20961.98969830071,-41.31939351136487,-6.730551425688254,-15.763142308311872,1.646384171278236,188.0,0.0,
max,3856.4851946576273,15113.924218869071,2906.0847472500523,5.809680215654357,10.54557551431594,5.388968777881039,31.93738531313392,2498.0,0.0,,31726.76619832489,31143.86724112972,58909.5835015618,23.547131869148103,27.200095495006682,47.69152224661048,57.73822510930886,2498.0,0.0,,870.5804323227032,19679.498995415317,1557.1956348699025,3.484959564934905,13.099575331176352,4.736707482384961,25.78682285393168,2498.0,0.0,,23267.838203387266,4592.230657446683,27104.783543382524,29.1929618117448,5.337180509870374,21.175004320792574,46.88665485229385,2498.0,0.0,
std,3663.749571205843,4857.516674706406,6418.377612466962,2.092229327758929,4.725013260690736,7.845566425674338,6.897115863020659,527.966653776543,0.0,,23354.196720053715,6203.5685716156,33239.64475534304,21.312290146809517,5.352847901500883,27.969739502628492,22.039542314725363,1008.3326149639314,0.0,,11341.243746283988,8300.754480738795,7467.9111166397015,10.564360584144765,6.746989714220181,5.58462867939587,9.454473933033107,992.0182177762664,0.0,,19857.458215159106,1366.2245757393316,11998.829502350996,20.20439383451743,2.3777449009531195,11.666652884151098,17.51207581634629,971.3916717781763,0.0,
total,,,,,,,,,0.0,100.0,,,,,,,,,0.0,100.0,,,,,,,,,0.0,100.0,,,,,,,,,0.0,100.0
successes,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0
failures,,,,,,,,,0.0,100.0,,,,,,,,,0.0,100.0,,,,,,,,,0.0,100.0,,,,,,,,,0.0,100.0
